Title,Source,Published Date,news,cleaned_news,processed_text,sentiment
Middle East conflict rattles energy markets squeezes IC distributors,Digitimes,2026-03-12,Middle East conflict rattles energy markets squeezes IC distributors,middle east conflict rattles energy markets squeezes ic distributors,middle east conflict rattles energy markets squeezes distributors,Neutral
SomaliaIndia collision Study says tectonic rift could create mountains taller than the Himalayas,The Times of India,2026-03-12,SomaliaIndia collision Study says tectonic rift could create mountains taller than the Himalayas,somaliaindia collision study says tectonic rift could create mountains taller than the himalayas,somaliaindia collision study says tectonic rift could create mountains taller himalayas,Neutral
My nomination as Minister is a call to serve Nigeria Oyedele,Thechronicle.com.gh,2026-03-12,My nomination as Minister is a call to serve Nigeria Oyedele,my nomination as minister is a call to serve nigeria oyedele,nomination minister call serve nigeria oyedele,Neutral
Analysis The war on Iran is at a crossroads,Al Jazeera English,2026-03-12,Analysis The war on Iran is at a crossroads,analysis the war on iran is at a crossroads,analysis war iran crossroads,Neutral
Japan Isnt Sending Minesweepers to Middle East Takaichi Says,Financial Post,2026-03-12,Japan Isnt Sending Minesweepers to Middle East Takaichi Says,japan isnt sending minesweepers to middle east takaichi says,japan isnt sending minesweepers middle east takaichi says,Neutral
CES 2026 Connected vehicles accelerate the pace of AI,ComputerWeekly.com,2026-03-12,CES 2026 Connected vehicles accelerate the pace of AI,ces  connected vehicles accelerate the pace of ai,ces connected vehicles accelerate pace,Neutral
Woo Do Hwan Lee Sang Yi And Rain Show Fierce Determination To Protect What They Value In New Drama Bloodhounds 2,soompi,2026-03-12,Woo Do Hwan Lee Sang Yi And Rain Show Fierce Determination To Protect What They Value In New Drama Bloodhounds 2,woo do hwan lee sang yi and rain show fierce determination to protect what they value in new drama bloodhounds ,woo hwan lee sang rain show fierce determination protect value new drama bloodhounds,Positive
Sarawaks medical tourism sector records positive growth says minister,The Star Online,2026-03-12,Sarawaks medical tourism sector records positive growth says minister,sarawaks medical tourism sector records positive growth says minister,sarawaks medical tourism sector records positive growth says minister,Positive
Columbus Annual Report 2025,GlobeNewswire,2026-03-12,Columbus Annual Report 2025,columbus annual report ,columbus annual report,Neutral
Blackpinks Jisoo to receive Rising Star award at Canneseries in April,CNA,2026-03-12,Blackpinks Jisoo to receive Rising Star award at Canneseries in April,blackpinks jisoo to receive rising star award at canneseries in april,blackpinks jisoo receive rising star award canneseries april,Neutral
Real Madrid targeting Manchester Citys Rodri as part of 100M summer transfer spree,Cityxtra.co.uk,2026-03-12,Real Madrid targeting Manchester Citys Rodri as part of 100M summer transfer spree,real madrid targeting manchester citys rodri as part of m summer transfer spree,real madrid targeting manchester citys rodri part summer transfer spree,Positive
SK pharmteco Announces CGMP Qualification of its CommercialScale Viral Vector Manufacturing Facility in France,GlobeNewswire,2026-03-12,SK pharmteco Announces CGMP Qualification of its CommercialScale Viral Vector Manufacturing Facility in France,sk pharmteco announces cgmp qualification of its commercialscale viral vector manufacturing facility in france,pharmteco announces cgmp qualification commercialscale viral vector manufacturing facility france,Neutral
COOLMAX CloakFX Fiber Makes Official Global Debut at Performance Days Munich,Financial Post,2026-03-12,COOLMAX CloakFX Fiber Makes Official Global Debut at Performance Days Munich,coolmax cloakfx fiber makes official global debut at performance days munich,coolmax cloakfx fiber makes official global debut performance days munich,Neutral
The Pussycat Dolls confirm reunion and world tour how to get tickets,The-independent.com,2026-03-12,The Pussycat Dolls confirm reunion and world tour how to get tickets,the pussycat dolls confirm reunion and world tour how to get tickets,pussycat dolls confirm reunion world tour get tickets,Neutral
Bank of America Targets the 600 Billion Accounts Receivable Problem,pymnts.com,2026-03-12,Bank of America Targets the 600 Billion Accounts Receivable Problem,bank of america targets the  billion accounts receivable problem,bank america targets billion accounts receivable problem,Neutral
Egon Zehnder and IMD Join Forces to Boost Board Performance and Leadership Growth,Financial Post,2026-03-12,Egon Zehnder and IMD Join Forces to Boost Board Performance and Leadership Growth,egon zehnder and imd join forces to boost board performance and leadership growth,egon zehnder imd join forces boost board performance leadership growth,Neutral
EcoOnline Launches Mega Trends Report as 2025 Momentum Reflects the Shift from Compliance to Connected Risk,Financial Post,2026-03-12,EcoOnline Launches Mega Trends Report as 2025 Momentum Reflects the Shift from Compliance to Connected Risk,ecoonline launches mega trends report as  momentum reflects the shift from compliance to connected risk,ecoonline launches mega trends report momentum reflects shift compliance connected risk,Neutral
BDC expands support for defence sector businesses to 6 billion,Financial Post,2026-03-12,BDC expands support for defence sector businesses to 6 billion,bdc expands support for defence sector businesses to  billion,bdc expands support defence sector businesses billion,Neutral
More Bluey Is Coming to Disney,Thefutoncritic.com,2026-03-12,More Bluey Is Coming to Disney,more bluey is coming to disney,bluey coming disney,Neutral
Bitcoin Enters Most Frustrating Phase CryptoQuant Says A Look At Whats To Come,newsBTC,2026-03-12,Bitcoin Enters Most Frustrating Phase CryptoQuant Says A Look At Whats To Come,bitcoin enters most frustrating phase cryptoquant says a look at whats to come,bitcoin enters frustrating phase cryptoquant says look whats come,Negative
Introducing the Know Your Agent Framework for the Age of Agentic Commerce,pymnts.com,2026-03-12,Introducing the Know Your Agent Framework for the Age of Agentic Commerce,introducing the know your agent framework for the age of agentic commerce,introducing know agent framework age agentic commerce,Neutral
BDC boosts Defence Platform up to 6B after providing 92M in financing since late December names StrongNorth Fund leader,Financial Post,2026-03-12,BDC boosts Defence Platform up to 6B after providing 92M in financing since late December names StrongNorth Fund leader,bdc boosts defence platform up to b after providing m in financing since late december names strongnorth fund leader,bdc boosts defence platform providing financing since late december names strongnorth fund leader,Negative
Havoc in the Strait of Hormuz hands Canadas oil sector a windfall Will pipelines follow,National Post,2026-03-12,Havoc in the Strait of Hormuz hands Canadas oil sector a windfall Will pipelines follow,havoc in the strait of hormuz hands canadas oil sector a windfall will pipelines follow,havoc strait hormuz hands canadas oil sector windfall pipelines follow,Neutral
Cbio AS Receives European Regulatory Clearance to Begin FirstinHuman Clinical Trial of NextGeneration TCell Therapy in latestage Cervical Cancer,GlobeNewswire,2026-03-12,Cbio AS Receives European Regulatory Clearance to Begin FirstinHuman Clinical Trial of NextGeneration TCell Therapy in latestage Cervical Cancer,cbio as receives european regulatory clearance to begin firstinhuman clinical trial of nextgeneration tcell therapy in latestage cervical cancer,cbio receives european regulatory clearance begin firstinhuman clinical trial nextgeneration tcell therapy latestage cervical cancer,Neutral
Whats climate change doing to avalanches and how we predict them,CBC News,2026-03-12,Whats climate change doing to avalanches and how we predict them,whats climate change doing to avalanches and how we predict them,whats climate change avalanches predict,Neutral
AirTag tech but make it walletfriendly  and on sale for just 24,Macworld,2026-03-12,AirTag tech but make it walletfriendly  and on sale for just 24,airtag tech but make it walletfriendly  and on sale for just ,airtag tech make walletfriendly sale,Neutral
Rapper Knaan to testify in his own defence in sexual assault trial in Quebec City,CBC News,2026-03-12,Rapper Knaan to testify in his own defence in sexual assault trial in Quebec City,rapper knaan to testify in his own defence in sexual assault trial in quebec city,rapper knaan testify defence sexual assault trial quebec city,Positive
Trump Taps Strategic Petroleum Reserve in Response to Iran Shipping Attacks,OilPrice.com,2026-03-12,Trump Taps Strategic Petroleum Reserve in Response to Iran Shipping Attacks,trump taps strategic petroleum reserve in response to iran shipping attacks,trump taps strategic petroleum reserve response iran shipping attacks,Neutral
Homary Announces Opening of First UK Flagship Store in Chiswick London on March 14 2026,GlobeNewswire,2026-03-12,Homary Announces Opening of First UK Flagship Store in Chiswick London on March 14 2026,homary announces opening of first uk flagship store in chiswick london on march  ,homary announces opening first flagship store chiswick london march,Positive
BDC boosts Defence Platform up to 6B after providing 92M in financing since late December names StrongNorth Fund leader,GlobeNewswire,2026-03-12,BDC boosts Defence Platform up to 6B after providing 92M in financing since late December names StrongNorth Fund leader,bdc boosts defence platform up to b after providing m in financing since late december names strongnorth fund leader,bdc boosts defence platform providing financing since late december names strongnorth fund leader,Negative
Pussycat Dolls Reunite as a Trio Release New Single Club Song and Announce PCD Forever Global Tour,Variety,2026-03-12,Pussycat Dolls Reunite as a Trio Release New Single Club Song and Announce PCD Forever Global Tour,pussycat dolls reunite as a trio release new single club song and announce pcd forever global tour,pussycat dolls reunite trio release new single club song announce pcd forever global tour,Positive
War has gripped the Middle East but the turmoil is giving Russia an opportunity,CBC News,2026-03-12,War has gripped the Middle East but the turmoil is giving Russia an opportunity,war has gripped the middle east but the turmoil is giving russia an opportunity,war gripped middle east turmoil giving russia opportunity,Neutral
InterDigital to Showcase Breakthrough in EnergyEfficient Video Streaming at DVB World,GlobeNewswire,2026-03-12,InterDigital to Showcase Breakthrough in EnergyEfficient Video Streaming at DVB World,interdigital to showcase breakthrough in energyefficient video streaming at dvb world,interdigital showcase breakthrough energyefficient video streaming dvb world,Neutral
How shipping companies are navigating danger in the Strait of Hormuz,CBC News,2026-03-12,How shipping companies are navigating danger in the Strait of Hormuz,how shipping companies are navigating danger in the strait of hormuz,shipping companies navigating danger strait hormuz,Neutral
AI isnt replacing workers  its making them compete,Dazed,2026-03-12,AI isnt replacing workers  its making them compete,ai isnt replacing workers  its making them compete,isnt replacing workers making compete,Neutral
Zelensky in Paris tomorrow for a meeting with Macron On the table are means to increase pressure on Russia,Protothema.gr,2026-03-12,Zelensky in Paris tomorrow for a meeting with Macron On the table are means to increase pressure on Russia,zelensky in paris tomorrow for a meeting with macron on the table are means to increase pressure on russia,zelensky paris tomorrow meeting macron table means increase pressure russia,Neutral
Canadian Travel Slumps Hilton Sounds Alarm Airbnb Ops Push,Skift,2026-03-12,Canadian Travel Slumps Hilton Sounds Alarm Airbnb Ops Push,canadian travel slumps hilton sounds alarm airbnb ops push,canadian travel slumps hilton sounds alarm airbnb ops push,Neutral
European Gas Prices Follow Oil Higher as Shipping Crisis Worsens,Financial Post,2026-03-12,European Gas Prices Follow Oil Higher as Shipping Crisis Worsens,european gas prices follow oil higher as shipping crisis worsens,european gas prices follow oil higher shipping crisis worsens,Positive
Atos Group Launches Sovereign Agentic Studios to Bring AI Safely into Production Across Organizations,GlobeNewswire,2026-03-12,Atos Group Launches Sovereign Agentic Studios to Bring AI Safely into Production Across Organizations,atos group launches sovereign agentic studios to bring ai safely into production across organizations,atos group launches sovereign agentic studios bring safely production across organizations,Positive
Dhurandhar Gets Worldwide Cinema ReRelease Ahead Of Sequels Premiere,Deadline,2026-03-12,Dhurandhar Gets Worldwide Cinema ReRelease Ahead Of Sequels Premiere,dhurandhar gets worldwide cinema rerelease ahead of sequels premiere,dhurandhar gets worldwide cinema rerelease ahead sequels premiere,Neutral
China positions itself as force for global stability at its annual Congress,Abcnews.com,2026-03-12,China positions itself as force for global stability at its annual Congress,china positions itself as force for global stability at its annual congress,china positions force global stability annual congress,Neutral
HCLTech offers work from home as LPG crunch disrupts office cafeterias,Livemint,2026-03-12,HCLTech offers work from home as LPG crunch disrupts office cafeterias,hcltech offers work from home as lpg crunch disrupts office cafeterias,hcltech offers work home lpg crunch disrupts office cafeterias,Positive
Naver Webtoon Tests Simultaneous Global Releases Reports Up to 200 Revenue Growth,Anime News Network,2026-03-12,Naver Webtoon Tests Simultaneous Global Releases Reports Up to 200 Revenue Growth,naver webtoon tests simultaneous global releases reports up to  revenue growth,naver webtoon tests simultaneous global releases reports revenue growth,Neutral
Tim Davie BBC has no right to exist without delivering value to every household,C21media.net,2026-03-12,Tim Davie BBC has no right to exist without delivering value to every household,tim davie bbc has no right to exist without delivering value to every household,tim davie bbc right exist without delivering value every household,Positive
Este Lauder Sues Jo Malone in UK for Trademark Infringement Breach of Contract,WWD,2026-03-12,Este Lauder Sues Jo Malone in UK for Trademark Infringement Breach of Contract,este lauder sues jo malone in uk for trademark infringement breach of contract,este lauder sues malone trademark infringement breach contract,Neutral
Indias private credit market well insulated from global turbulence Rakshat Kapoor,The Times of India,2026-03-12,Indias private credit market well insulated from global turbulence Rakshat Kapoor,indias private credit market well insulated from global turbulence rakshat kapoor,indias private credit market well insulated global turbulence rakshat kapoor,Neutral
Government Monitoring Middle East Tensions To Protect Nigerias Economy Edun,Thechronicle.com.gh,2026-03-12,Government Monitoring Middle East Tensions To Protect Nigerias Economy Edun,government monitoring middle east tensions to protect nigerias economy edun,government monitoring middle east tensions protect nigerias economy edun,Neutral
IMF Pakistan Extend Talks Amid Questions on Iran War Impact,Financial Post,2026-03-12,IMF Pakistan Extend Talks Amid Questions on Iran War Impact,imf pakistan extend talks amid questions on iran war impact,imf pakistan extend talks amid questions iran war impact,Neutral
Vestas No longer a poster child for GDPR implementation,Ing.dk,2026-03-12,Vestas No longer a poster child for GDPR implementation,vestas no longer a poster child for gdpr implementation,vestas longer poster child gdpr implementation,Neutral
Three more ships struck in the Persian Gulf as Iran warns of oil prices hitting 200,CNBC,2026-03-12,Three more ships struck in the Persian Gulf as Iran warns of oil prices hitting 200,three more ships struck in the persian gulf as iran warns of oil prices hitting ,three ships struck persian gulf iran warns oil prices hitting,Neutral
Rick and Morty Season 9 First Look Images and Premiere Date Announced,Toynewsi.com,2026-03-12,Rick and Morty Season 9 First Look Images and Premiere Date Announced,rick and morty season  first look images and premiere date announced,rick morty season first look images premiere date announced,Positive
Nifty recovers from days low but stays in red auto drags energy lifts,BusinessLine,2026-03-12,Nifty recovers from days low but stays in red auto drags energy lifts,nifty recovers from days low but stays in red auto drags energy lifts,nifty recovers days low stays red auto drags energy lifts,Neutral
Chinas Two Sessions wrap up Key signals on foreign policy economy and livelihoods,CNA,2026-03-12,Chinas Two Sessions wrap up Key signals on foreign policy economy and livelihoods,chinas two sessions wrap up key signals on foreign policy economy and livelihoods,chinas two sessions wrap key signals foreign policy economy livelihoods,Negative
Force majeure notices signal a worsening LNG supply crunch for Asia,The Straits Times,2026-03-12,Force majeure notices signal a worsening LNG supply crunch for Asia,force majeure notices signal a worsening lng supply crunch for asia,force majeure notices signal worsening lng supply crunch asia,Neutral
Orthobiologics Market to Surpass USD 9 Billion by 2031 Amid Rising Osteoarthritis Cases and Advancements in Regenerative Therapies Says Mordor Intelligence,GlobeNewswire,2026-03-12,Orthobiologics Market to Surpass USD 9 Billion by 2031 Amid Rising Osteoarthritis Cases and Advancements in Regenerative Therapies Says Mordor Intelligence,orthobiologics market to surpass usd  billion by  amid rising osteoarthritis cases and advancements in regenerative therapies says mordor intelligence,orthobiologics market surpass usd billion amid rising osteoarthritis cases advancements regenerative therapies says mordor intelligence,Neutral
EF Language Abroad invests in future of immersive language learning with Malta and Cape Town campuses,GlobeNewswire,2026-03-12,EF Language Abroad invests in future of immersive language learning with Malta and Cape Town campuses,ef language abroad invests in future of immersive language learning with malta and cape town campuses,language abroad invests future immersive language learning malta cape town campuses,Neutral
Indonesia assures Ramadan food stocks stable despite Middle East war,Antaranews.com,2026-03-12,Indonesia assures Ramadan food stocks stable despite Middle East war,indonesia assures ramadan food stocks stable despite middle east war,indonesia assures ramadan food stocks stable despite middle east war,Neutral
Japans Honda warns massive EV writedown will put carmaker in red,Nikkei.com,2026-03-12,Japans Honda warns massive EV writedown will put carmaker in red,japans honda warns massive ev writedown will put carmaker in red,japans honda warns massive writedown put carmaker red,Neutral
AlphaGrep gets Sebi approval to launch mutual fund business,Livemint,2026-03-12,AlphaGrep gets Sebi approval to launch mutual fund business,alphagrep gets sebi approval to launch mutual fund business,alphagrep gets sebi approval launch mutual fund business,Neutral
US Starts Trade Probe Into China EU in Trumps Tariffs Revival,Financial Post,2026-03-12,US Starts Trade Probe Into China EU in Trumps Tariffs Revival,us starts trade probe into china eu in trumps tariffs revival,starts trade probe china trumps tariffs revival,Neutral
Honda Warns of 157 Billion Charge on Global EV Downturn,Financial Post,2026-03-12,Honda Warns of 157 Billion Charge on Global EV Downturn,honda warns of  billion charge on global ev downturn,honda warns billion charge global downturn,Neutral
How persistently high oil prices amid Iran war could impact Indias economy,The Times of India,2026-03-12,How persistently high oil prices amid Iran war could impact Indias economy,how persistently high oil prices amid iran war could impact indias economy,persistently high oil prices amid iran war could impact indias economy,Positive
UN Relief Chief Choose humanity to save 87 million lives in a time of brutality,Globalsecurity.org,2026-03-12,UN Relief Chief Choose humanity to save 87 million lives in a time of brutality,un relief chief choose humanity to save  million lives in a time of brutality,relief chief choose humanity save million lives time brutality,Neutral
IEA Member countries to carry out largest ever oil stock release amid market disruptions from Middle East conflict,Globalsecurity.org,2026-03-12,IEA Member countries to carry out largest ever oil stock release amid market disruptions from Middle East conflict,iea member countries to carry out largest ever oil stock release amid market disruptions from middle east conflict,iea member countries carry largest ever oil stock release amid market disruptions middle east conflict,Neutral
Hegseth Calls for Assessment Alignment of DOW Legal Functions Operations,Globalsecurity.org,2026-03-12,Hegseth Calls for Assessment Alignment of DOW Legal Functions Operations,hegseth calls for assessment alignment of dow legal functions operations,hegseth calls assessment alignment dow legal functions operations,Positive
Strait of Hormuz tensions simmer as Iran war lasts China steps up shuttle diplomacy,Globalsecurity.org,2026-03-12,Strait of Hormuz tensions simmer as Iran war lasts China steps up shuttle diplomacy,strait of hormuz tensions simmer as iran war lasts china steps up shuttle diplomacy,strait hormuz tensions simmer iran war lasts china steps shuttle diplomacy,Neutral
Security Council Adopts Resolution 2817 2026 Condemning Irans Egregious Attacks Against Neighbours as Middle East Violence Rapidly Spirals,Globalsecurity.org,2026-03-12,Security Council Adopts Resolution 2817 2026 Condemning Irans Egregious Attacks Against Neighbours as Middle East Violence Rapidly Spirals,security council adopts resolution   condemning irans egregious attacks against neighbours as middle east violence rapidly spirals,security council adopts resolution condemning irans egregious attacks neighbours middle east violence rapidly spirals,Neutral
Chinas top political advisory body concludes annual session,Globalsecurity.org,2026-03-12,Chinas top political advisory body concludes annual session,chinas top political advisory body concludes annual session,chinas top political advisory body concludes annual session,Positive
Iran urges global condemnation of USIsraeli aggression gets strong support,Globalsecurity.org,2026-03-12,Iran urges global condemnation of USIsraeli aggression gets strong support,iran urges global condemnation of usisraeli aggression gets strong support,iran urges global condemnation usisraeli aggression gets strong support,Positive
Commercial Ships Targeted As Iran Threatens Key Gulf Energy Transit Point,Globalsecurity.org,2026-03-12,Commercial Ships Targeted As Iran Threatens Key Gulf Energy Transit Point,commercial ships targeted as iran threatens key gulf energy transit point,commercial ships targeted iran threatens key gulf energy transit point,Neutral
Statement to the 111th Session of the Executive Council of the OPCW,Globalsecurity.org,2026-03-12,Statement to the 111th Session of the Executive Council of the OPCW,statement to the th session of the executive council of the opcw,statement session executive council opcw,Neutral
Strait of Hormuz disruptions Implications for global trade and development,Globalsecurity.org,2026-03-12,Strait of Hormuz disruptions Implications for global trade and development,strait of hormuz disruptions implications for global trade and development,strait hormuz disruptions implications global trade development,Neutral
Defence Minister McGuinty met with Japans Minister of Defense,Globalsecurity.org,2026-03-12,Defence Minister McGuinty met with Japans Minister of Defense,defence minister mcguinty met with japans minister of defense,defence minister mcguinty met japans minister defense,Neutral
China schedules next moonshot this year developer,Globalsecurity.org,2026-03-12,China schedules next moonshot this year developer,china schedules next moonshot this year developer,china schedules next moonshot year developer,Neutral
UN relief chief condemns 1 billionaday cost of war in Middle East,Globalsecurity.org,2026-03-12,UN relief chief condemns 1 billionaday cost of war in Middle East,un relief chief condemns  billionaday cost of war in middle east,relief chief condemns billionaday cost war middle east,Neutral
Chinas position of opposing deployment of THAAD antimissile system in ROK remains unchanged FM says on US relocation of system to Middle East,Globalsecurity.org,2026-03-12,Chinas position of opposing deployment of THAAD antimissile system in ROK remains unchanged FM says on US relocation of system to Middle East,chinas position of opposing deployment of thaad antimissile system in rok remains unchanged fm says on us relocation of system to middle east,chinas position opposing deployment thaad antimissile system rok remains unchanged says relocation system middle east,Neutral
IRGC strikes 2 vessels defying warnings in Strait of Hormuz,Globalsecurity.org,2026-03-12,IRGC strikes 2 vessels defying warnings in Strait of Hormuz,irgc strikes  vessels defying warnings in strait of hormuz,irgc strikes vessels defying warnings strait hormuz,Neutral
Any ship passing Strait of Hormuz must obtain approval IRGC Navy chief,Globalsecurity.org,2026-03-12,Any ship passing Strait of Hormuz must obtain approval IRGC Navy chief,any ship passing strait of hormuz must obtain approval irgc navy chief,ship passing strait hormuz must obtain approval irgc navy chief,Neutral
All ports in Persian Gulf will be legitimate targets if Iranian ports are attacked,Globalsecurity.org,2026-03-12,All ports in Persian Gulf will be legitimate targets if Iranian ports are attacked,all ports in persian gulf will be legitimate targets if iranian ports are attacked,ports persian gulf legitimate targets iranian ports attacked,Neutral
Our goal is to promote an immediate ceasefire push all parties back on the track of dialogue negotiations FM says on focus of Chinas shuttle diplomacy regarding Iran,Globalsecurity.org,2026-03-12,Our goal is to promote an immediate ceasefire push all parties back on the track of dialogue negotiations FM says on focus of Chinas shuttle diplomacy regarding Iran,our goal is to promote an immediate ceasefire push all parties back on the track of dialogue negotiations fm says on focus of chinas shuttle diplomacy regarding iran,goal promote immediate ceasefire push parties back track dialogue negotiations says focus chinas shuttle diplomacy regarding iran,Neutral
NY Times Trump miscalculated Irans retaliation as war costs soar,Globalsecurity.org,2026-03-12,NY Times Trump miscalculated Irans retaliation as war costs soar,ny times trump miscalculated irans retaliation as war costs soar,times trump miscalculated irans retaliation war costs soar,Neutral
Retreating to militarism leads nowhere but selfdestruction Chinese MND on Japans move to deploy longrange missiles,Globalsecurity.org,2026-03-12,Retreating to militarism leads nowhere but selfdestruction Chinese MND on Japans move to deploy longrange missiles,retreating to militarism leads nowhere but selfdestruction chinese mnd on japans move to deploy longrange missiles,retreating militarism leads nowhere selfdestruction chinese mnd japans move deploy longrange missiles,Neutral
Well open gates of fire upon Israel US enemies wont be safe even at home IRGC Quds Force,Globalsecurity.org,2026-03-12,Well open gates of fire upon Israel US enemies wont be safe even at home IRGC Quds Force,well open gates of fire upon israel us enemies wont be safe even at home irgc quds force,well open gates fire upon israel enemies wont safe even home irgc quds force,Positive
UN warns of higher food prices costofliving if Strait of Hormuz shuts,Globalsecurity.org,2026-03-12,UN warns of higher food prices costofliving if Strait of Hormuz shuts,un warns of higher food prices costofliving if strait of hormuz shuts,warns higher food prices costofliving strait hormuz shuts,Positive
IGPL and LIV Golf Collaboration Creates Opportunities for Indian Golfers,Rediff.com,2026-03-12,IGPL and LIV Golf Collaboration Creates Opportunities for Indian Golfers,igpl and liv golf collaboration creates opportunities for indian golfers,igpl liv golf collaboration creates opportunities indian golfers,Neutral
